level,temperature,tds,ph,turbidity,freshness_window_hours,risk_score
43.09,22.77,154.38,6.82,1.67,23.6,0.51
45.18,25.3,437,7.52,1.59,22.2,0.54
70.02,20.23,330.55,7.66,0.98,22.7,0.53
43.28,20.42,180.04,6.91,1.37,23.8,0.5
21.83,32.89,456.01,6.6,3.39,16.5,0.66
46.65,22.22,356.72,6.92,2.41,22.6,0.53
79.93,21.28,348.96,6.84,2.13,23.3,0.51
80.29,20.09,441.64,7.67,2.19,21.3,0.56
23.03,35.16,659.42,5.65,7.77,2,0.96
15.43,36.92,657.1,6.11,7.71,2,0.96
15.13,39.27,648.39,5.59,7.22,2,0.96
70.52,20.2,180.85,7.72,1.22,22.6,0.53
12.17,33.96,693.8,5.8,7.11,2,0.96
76.29,24.03,435.45,6.9,2.2,22.5,0.53
32.31,34.39,487.48,6.66,4.16,12.9,0.73
61.96,24.35,194.79,7.47,1.43,23.1,0.52
58.31,23.58,195.4,7.24,1.45,23.5,0.51
80.72,27.47,236.95,6.94,1.2,23.9,0.5
77.92,27.96,434.11,7.26,2.08,22.6,0.53
10.29,33.96,616.05,5.9,6.73,2,0.96
44.66,27.61,387.42,7.36,1.9,23.3,0.51
55.99,29.65,370.03,7.54,1.2,22.9,0.52
53.65,26.63,273.18,7.47,1.03,23.1,0.52
41.79,23.86,389.63,6.88,1.16,23.8,0.5
58.54,20.19,381.93,7.2,2,23.6,0.51
54.87,25.89,217.75,7.29,1.36,23.4,0.51
41.15,26.14,193.78,7.23,2.18,23,0.52
12.09,39.52,673.91,5.77,7.36,2,0.96
16.6,34.67,549.81,6,6.49,3.2,0.93
21.33,31.56,406.63,6.33,3.05,18.6,0.61
55.41,23.78,251.71,7.02,0.6,24,0.5
67.07,22.27,246.99,6.82,1.21,23.6,0.51
82.21,25.21,182.15,6.87,2.47,22.3,0.54
48.03,21.52,283.99,7.75,1.26,22.5,0.53
69.37,24.96,274.97,7.75,1.71,22.5,0.53
56.84,25.82,353.86,7.38,1.47,23.2,0.52
44.89,25.42,169.19,7.24,0.6,23.5,0.51
80.85,28.82,232.88,7.15,2.37,22.6,0.53
12.22,35.95,616.39,6.15,4.89,6.3,0.87
47.4,26.83,173.91,6.88,1.36,23.8,0.5
22.93,35.93,599.37,5.85,7.07,2,0.96
